時間,標題,連結
2021-10-01 22:43,美國9月ISM製造業PMI升至61.1優於預期 創5月以來高點,https://news.cnyes.com/news/id/4733584
2021-10-01 22:34,美國8月消費支出增幅超預期 核心PCE續創30年新高,https://news.cnyes.com/news/id/4733574
2021-10-01 21:54,〈美股早盤〉美股漲跌不一、默克新冠口服藥傳佳音 開盤漲逾8%,https://news.cnyes.com/news/id/4733412
2021-10-01 20:00,鉅亨美股雷達：市場仍關注通膨情況 中國造車新勢力9月成績亮眼,https://news.cnyes.com/news/id/4733424
2021-10-01 20:00,美中脫鉤  停滯性通膨下的選股策略為何？,https://news.cnyes.com/news/id/4733014
2021-10-01 19:57,〈貿聯跨國併購〉總座：Q4三大應用需求支撐 營運優於去年同期,https://news.cnyes.com/news/id/4733551
2021-10-01 19:55,三大法人台股大提款 有志一同鍾愛面板雙虎,https://news.cnyes.com/news/id/4733539
2021-10-01 19:51,比特幣急漲近4000美元 突破47000美元,https://news.cnyes.com/news/id/4733525
2021-10-01 19:44,經濟部通過致伸、昇陽半等7企業擴大投資台灣81億元,https://news.cnyes.com/news/id/4733527
2021-10-01 19:44,杏國前8月稅後虧損1.61億元 每股虧1.76元,https://news.cnyes.com/news/id/4733515
2021-10-01 19:40,央行打炒房態度硬 找36家銀行業喝咖啡,https://news.cnyes.com/news/id/4733514
2021-10-01 19:39,明安、復盛應用越生產線取得復工許可,https://news.cnyes.com/news/id/4733513
2021-10-01 19:38,默克試驗結果出爐 旗下新冠口服藥可降5成住院、死亡風險,https://news.cnyes.com/news/id/4733523
2021-10-01 19:38,〈美股盤前要聞〉美將公布多項數據 美股期貨續跌,https://news.cnyes.com/news/id/4733423
2021-10-01 19:20,中國限電政策影響 太陽能供應鏈價格全面走揚 漲幅逾1%,https://news.cnyes.com/news/id/4733512
2021-10-01 19:11,台積電運動會今年停辦 7.5億元大紅包照發,https://news.cnyes.com/news/id/4733530
2021-10-01 18:58,〈台幣〉外資瘋狂提款 連4貶收27.882元 周線翻貶,https://news.cnyes.com/news/id/4733511
2021-10-01 18:54,永豐金證看台股拉回為健康回檔 點名看好6大產業,https://news.cnyes.com/news/id/4733509
2021-10-01 18:34,高端向TFDA申請腸病毒71型疫苗藥證 最快明年下半年取證,https://news.cnyes.com/news/id/4733447
