日期,每日原始總分,情緒分類
2025-04-01,1,1
2025-04-02,10,1
2025-04-03,-6,-1
2025-04-04,-3,-1
2025-04-05,1,1
2025-04-06,-2,-1
2025-04-07,-9,-1
2025-04-08,2,1
2025-04-09,5,1
2025-04-10,4,1
2025-04-11,5,1
2025-04-12,-1,-1
2025-04-13,0,0
2025-04-14,-1,-1
2025-04-15,1,1
2025-04-16,3,1
2025-04-17,-2,-1
2025-04-18,2,1
2025-04-19,0,0
2025-04-20,0,0
2025-04-21,1,1
2025-04-22,0,0
2025-04-23,6,1
2025-04-24,4,1
2025-04-25,8,1
2025-04-26,0,0
2025-04-27,0,0
2025-04-28,5,1
2025-04-29,11,1
2025-04-30,7,1
